Blog	years	most	than	make	into	would	today	two	his	don	day	because	had	see	any	many	post	way	these	still	use	know	then	read	back	work	take	were	only	well	want	much	world	also	video	year	while	need	last	could	best	week	those	made	may	before	too	why	very	right	even	something	think	being	around	going	down	google	through	should	things	where	good	free	next	off	might	top	said	using	same	every	few	between	look	long	got	great	better	news	story	her	big	used	little	online	internet	full	days	always	media	since	help	show	really	ever	three	working	company	times	live	real	doesn	own	say	life	site	lot	part	social	business	him	find	called	making	sure	without	let	email	thing	old	ago	different	come	blog	app	play	change	keep	never	end	friends	hard	does	both	did	makes	start	users	future	number	high	comes	buy	though	easy	actually	twitter	art	music	another	links	each	available	data	information	set	com	she	reading	everyone	money	instead	bad	left	says	didn	small	thanksgiving	web	including	home	yet	point	case	list	love	stop	black	recently	support	open	found	try	game	talk	almost	check	second	such	less	content	getting	book	away	night	month	during	isn	nbsp	holiday	already	looking	family	man	public	report	once	via	doing	told	early	bit	often	york	service	past	interesting	coming	later	however	friday	million	line	run	give	continue	means	based	page	everything	until	youtube	able	finally	far	process	stuff	deal	again	turn	happy	whole	recent	comments	space	digital	behind	idea	design	four	feature	done	least	under	course	quite	major	group	share	earlier	technology	problem	put	enough	short	store	team	community	anything	link	together	shows	feel	click	search	fact	months	important	add	place	nothing	whether	power	probably	house	phone	writing	hit	update	american	images	version	original	trying	pretty	won	questions	videos	several	example	project	having	system	government	started	weeks	website	must	simple	watch	along	five	network	mobile	facebook	control	went	itself	thought	changes	women	november	needs	call	image	hours	science	else	tell	create	program	fast	city	takes	latest	features	anyone	favorite	order	white	ways	view	photos	couple	become	thanks	guide	lost	across	school	released	action	customers	results	remember	article	user	software	according	minutes	took	amp	likely	photo	launch	against	either	believe	key	below	asked	san	side	tools	added	state	build	experience	sometimes	product	close	goes	local	press	president	person	seems	above	pay	secret	hand	head	someone	series	came	awesome	large	posted	face	android	reason	step	decided	single	amazon	known	six	gets	chance	running	please	text	following	wants	former	places	worth	cost	non	tuesday	yes	sites	services	access	level	platform	rather	kind	include	name	possible	hope	voice	question	starting	understand	national	value	tool	hear	apps	screen	owners	microsoft	move	interview	terms	happen	care	price	stories	human	film	taking	cool	given	creating	related	reports	review	device	marketing	write	yourself	building	mark	others	tech	saying	originally	books	john	america	learned	popular	party	personal	weekend	performance	entire	wrote	ability	wasn	industry	obama	david	half	written	companies	points	appeared	maybe	spent	center	reasons	due	drive	rest	items
TUAW - The Unofficial Apple Weblog	5	11	23	16	23	7	9	22	4	11	22	3	8	53	23	8	1	17	15	11	56	6	10	4	16	8	29	5	31	11	16	8	12	27	25	13	21	13	14	8	17	20	12	7	11	8	5	3	8	5	10	3	7	6	10	9	24	0	14	6	4	11	8	52	4	98	7	12	5	11	9	7	12	8	4	7	3	6	5	9	2	0	8	9	7	13	2	8	5	3	3	1	4	2	8	8	15	3	17	5	3	1	8	5	4	10	2	4	6	0	5	2	8	5	7	12	12	2	45	1	4	4	3	2	0	69	13	7	4	2	3	6	7	9	5	1	6	10	12	7	10	1	10	16	6	6	5	0	1	7	13	1	10	25	7	4	13	13	0	2	5	2	5	15	5	1	3	6	22	5	12	9	3	6	46	14	3	2	50	2	4	12	5	5	21	3	4	7	4	3	14	4	6	0	5	1	3	4	3	236	22	5	7	10	0	0	5	10	8	1	2	2	2	10	0	1	5	2	5	7	6	56	12	8	2	8	2	2	5	9	1	12	0	4	4	7	2	3	5	2	7	4	1	0	40	2	9	3	4	4	4	5	2	3	1	6	6	2	1	2	3	5	1	6	3	0	40	0	2	0	3	0	6	4	8	4	4	1	2	8	4	1	0	7	7	2	9	2	5	11	2	3	18	5	1	5	7	0	10	1	3	4	3	4	0	2	5	2	5	3	1	3	6	2	6	1	2	1	2	2	0	0	48	6	0	3	8	0	0	5	4	1	7	1	9	9	12	3	3	11	8	0	4	19	1	2	5	5	2	1	0	6	5	7	3	2	0	5	24	4	2	5	17	4	16	0	9	2	3	10	8	1	7	2	7	3	1	0	0	3	12	5	2	4	4	1	0	2	1	3	4	8	3	0	9	2	0	1	0	2	10	5	2	1	1	2	2	2	4	4	3	42	6	1	2	0	0	5	2	4	4	1	1	7	3	7	0	6	1	4	0	1	2	1	1	25	0	1	0	1	0	15	9	4	5	4	0	46	1	1	20	7	0	4	4	2	7	1	4	5	5	36	0	0	5	3	4	5	11	1	42	0	0	0	0	8	5	1	1	0	1	1	4	0	2	0	0	2	0	2	2	40	0	1	0	2	5	10	1	10
Lifehacker	0	3	1	5	7	0	4	0	3	3	3	0	1	0	3	1	1	4	2	2	5	1	2	27	1	2	2	0	0	0	6	2	0	2	5	3	1	2	1	0	7	1	2	0	2	0	1	2	0	3	2	5	2	0	1	0	0	6	7	4	2	1	1	1	0	0	4	2	0	1	0	2	2	0	3	1	0	4	3	2	2	0	0	1	2	0	0	0	1	1	0	1	0	0	1	2	0	0	0	1	0	0	0	1	2	0	0	0	0	2	1	0	1	0	1	1	0	1	2	0	2	0	3	3	1	6	1	1	1	1	0	1	0	0	1	0	2	1	1	0	0	0	2	1	1	2	1	1	2	1	0	0	3	0	0	0	1	0	0	0	1	0	1	3	0	0	0	1	0	0	2	4	0	0	1	0	2	0	1	0	3	0	1	1	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	2	0	2	4	0	0	0	0	1	0	2	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	4	0	0	0	2	3	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	3	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	5	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	3	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	2	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Google Operating System	0	4	8	1	0	0	1	1	0	0	1	3	0	12	2	3	4	1	6	7	21	1	9	6	12	0	0	1	10	0	3	3	1	6	5	0	4	7	1	0	0	2	1	0	3	2	1	1	3	5	1	1	0	0	0	1	6	126	1	1	1	1	2	2	10	0	2	2	0	5	2	2	4	1	1	5	4	2	2	2	0	0	0	2	0	1	5	3	2	4	0	2	4	10	0	0	0	0	0	2	5	1	3	0	3	0	3	2	1	1	0	0	6	0	0	0	2	0	0	3	2	2	1	0	0	6	9	3	1	1	0	2	1	1	1	0	0	0	4	0	5	0	1	0	1	1	2	0	0	2	1	3	1	3	0	3	0	10	0	0	0	3	0	0	1	2	0	1	0	1	1	0	0	0	1	9	0	0	1	0	3	8	2	1	0	0	0	5	0	0	3	3	0	0	1	0	0	0	1	10	0	2	0	0	0	1	0	2	2	0	0	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	2	2	0	21	0	3	21	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	5	0	2	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	17	0	23	17	0	1	1	3	0	0	0	0	4	0	3	0	3	5	3	3	1	4	0	1	1	0	1	0	10	0	1	0	0	1	3	0	0	2	0	0	0	1	2	0	1	1	0	0	5	0	0	0	0	6	0	0	0	4	3	0	0	0	2	3	8	0	1	1	0	0	1	5	0	0	12	3	0	0	0	0	0	0	5	1	0	1	1	0	1	0	0	0	0	0	0	1	0	3	2	1	0	0	0	1	0	0	1	4	0	5	0	0	15	0	0	1	0	4	0	0	0	1	0	0	0	4	1	1	4	0	2	0	1	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	5	3	6	0	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	8	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	23	0	0
Valleywag	5	1	2	2	0	1	0	1	8	1	1	1	0	2	2	1	1	1	0	1	2	1	0	22	0	2	1	1	2	2	1	2	1	1	1	6	0	0	1	0	1	1	0	1	0	1	1	2	2	2	0	1	2	3	2	3	0	3	1	1	0	0	0	1	1	2	0	1	0	0	2	0	0	0	3	1	2	2	1	0	0	8	0	0	0	0	0	0	0	1	1	0	2	1	1	0	1	2	3	4	0	0	1	1	0	1	1	0	3	2	2	2	0	1	0	0	1	1	0	1	2	2	1	0	0	1	1	0	0	1	0	0	2	1	0	1	2	0	1	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	2	0	0	4	0	0	1	1	0	2	0	6	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	2	1	1	0	0	0	1	5	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	2	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	4	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Mashable	5	8	7	4	6	5	1	8	14	7	16	2	3	21	4	4	2	4	5	3	2	6	2	34	1	2	3	4	3	2	1	4	11	24	17	12	2	3	6	2	3	3	4	2	5	5	1	1	3	2	3	2	0	2	1	1	3	0	5	3	6	4	0	1	1	2	2	0	8	4	2	1	1	2	2	4	1	0	0	3	0	1	1	2	3	6	1	2	2	1	9	2	4	2	0	2	3	2	1	4	0	2	0	2	2	0	2	2	1	10	8	6	1	3	0	2	2	7	2	2	2	3	0	0	0	8	1	1	2	4	0	3	3	1	0	2	1	1	4	0	0	3	3	0	4	1	3	6	0	5	2	2	1	2	2	2	0	2	0	1	0	0	0	1	1	1	0	4	27	1	0	1	2	1	1	3	0	1	11	1	3	0	3	1	4	0	0	2	1	1	5	2	2	0	5	0	2	2	4	0	5	2	0	2	5	1	4	1	3	1	0	4	0	0	2	3	2	0	3	2	4	10	2	1	0	3	1	2	2	0	2	2	4	0	0	0	1	1	0	0	2	0	3	0	1	8	0	2	1	1	0	1	2	0	2	1	0	2	0	0	2	0	0	1	0	0	2	2	0	0	0	6	2	1	0	0	3	5	0	0	1	1	2	0	0	1	1	0	3	0	3	0	0	1	1	0	3	0	7	1	0	1	1	3	2	0	0	2	1	0	1	1	0	2	3	5	0	1	0	1	0	0	1	0	2	2	0	1	0	0	1	2	0	3	1	1	2	0	0	0	0	3	0	0	0	0	0	2	1	3	0	2	0	1	0	1	1	1	3	4	0	1	0	1	0	3	0	1	1	2	3	1	0	1	1	0	3	2	1	0	1	0	0	0	0	5	2	1	2	1	0	1	3	1	0	1	2	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	1	1	2	1	0	2	2	3	0	2	0	2	0	0	0	1	1	0	0	1	1	0	1	0	0	0	8	1	0	7	0	0	1	0	0	0	0	2	0	0	2	1	0	0	2	0	3	8	0	2	0	3	1	4	0	0	0	0	3	1	1	0	1	0	1	2	1	1	0	1	5	0	3	0	0	1	0	0	2	2	5	0	2	1	0
Gizmodo	2	4	4	3	2	2	2	2	0	3	3	0	1	3	2	1	0	3	1	3	1	1	2	27	0	4	2	1	0	3	3	2	5	1	1	3	1	0	0	4	3	0	1	0	0	3	0	0	1	1	1	0	0	2	3	6	2	0	1	0	0	2	1	0	3	5	2	0	0	1	0	3	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	1	2	1	1	1	1	0	0	1	0	1	0	0	2	0	0	0	2	1	0	3	0	0	0	0	3	0	1	0	0	0	0	1	1	2	2	1	1	0	0	0	1	0	0	1	0	2	1	1	3	0	1	0	1	0	0	0	0	0	0	0	0	3	2	0	4	2	0	1	0	0	5	1	0	1	0	0	0	0	0	3	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	100	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	0	0	2	1	5	4	0	0	2	0	1	1	0	2	0	1	3	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	1	3	0	1	0	0	0	1	0	0	1	2	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	1	0	0	0	1	1	0	1	2	0	2	0	0	0	1	2	0	0	0	1	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Michelle Malkin	0	1	0	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	5	4	0	2	0	0	0	0	0	1	0	0	0	0	0
Wired Top Stories	1	2	5	2	1	2	2	2	0	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	2	0	0	1	1	2	0	0	4	2	1	0	1	3	1	3	0	2	2	1	0	2	0	0	0	2	1	1	0	0	1	2	4	1	0	1	0	0	0	1	2	1	0	0	1	0	2	2	2	0	2	0	0	1	1	0	1	1	4	4	0	0	2	1	0	0	3	1	0	0	0	0	2	0	0	2	1	0	0	2	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	3	1	1	0	0	0	2	1	2	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	5	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	1	1	100	3	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	2	1	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Bloggers Blog	0	2	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	23	0	3	0	0	0	0	3	1	0	30	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SimpleBits	4	1	1	1	1	2	3	0	1	0	1	2	2	0	0	1	0	2	2	0	1	0	1	1	1	2	0	0	0	1	0	1	0	0	1	0	0	1	1	1	3	0	1	2	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ShoeMoney	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	3	0	0	5	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	3	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	7	2	5	1	3	3	6	8	0	2	3	1	3	2	4	9	0	3	2	7	6	1	3	25	2	2	2	7	8	1	0	3	1	3	1	4	11	4	4	4	1	3	3	4	2	0	4	2	3	4	6	1	3	7	4	3	2	9	4	9	0	4	2	4	2	1	3	5	8	1	3	0	3	4	0	2	0	1	0	2	26	0	2	3	2	2	4	1	1	0	2	2	0	1	2	1	3	0	1	4	0	3	1	0	4	1	1	1	3	2	0	0	0	2	3	0	2	1	0	2	1	1	3	0	0	0	0	0	1	0	0	0	1	2	0	0	2	1	1	0	1	4	0	2	2	0	0	0	7	1	3	0	1	6	7	2	0	3	0	0	0	0	0	0	3	2	2	1	1	4	5	0	2	1	1	1	1	0	4	2	3	4	2	2	2	2	1	0	4	3	0	1	2	0	0	0	0	1	1	0	0	4	2	0	0	2	0	2	1	2	0	2	1	1	2	0	1	1	2	0	2	4	2	0	2	0	1	1	5	0	1	1	0	0	3	1	3	0	0	0	2	0	0	0	0	0	1	2	1	0	2	3	0	1	2	1	1	4	1	0	1	2	6	5	1	0	1	2	3	0	0	3	0	1	0	2	2	1	1	0	1	0	3	0	0	0	4	0	3	0	1	2	2	0	0	0	0	1	0	4	0	1	1	6	3	2	0	0	1	1	0	2	1	1	3	1	1	0	1	0	0	0	1	0	0	1	0	3	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	2	3	2	0	1	0	1	0	3	3	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	1	2	0	1	1	1	0	2	2	1	0	2	0	1	0	1	2	1	2	0	0	0	2	0	1	3	0	0	0	0	2	0	1	0	1	2	0	0	1	0	1	0	0	2	0	0	0	3	0	2	0	1	0	0	0	2	0	1	2	1	1	0	0	4	1	0	1	0	0	6	0	0	0	0	0	2	1	1	0	1	0	1	0	0	1	2	2	0	3	0	2	2	1	5	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	5	2	0	0	0	0	1	0	1	1	0
